account	justificar
go about	hacer
go about	llevar a cabo
go about	dedicar se a
go after	ir por
go after	perseguir a
go after	perseguir
go after	seguir a 
go after	seguir
go against	oponer se a
go ahead with	seguir con
go ahead with	seguir adelante con
go ahead	avanzar
go along with	aceptar
go along with	consentir con
go along with	estar de acuerdo con
go along	ir
go along to	pasar por
go around	girar
go around	rodar
go around	rotar
go around	rodear
go around	alcanzar
go around	circular por
go around	correr por
go away	marchar se
go back on	romper
go back on	no cumplir
go back	retrasar
go back	retroceder
go back	regresar
go back	volver
go back	remontar se
go back to	volver a  
go back to	regresar a
go back to	remontar se a
go beyond	ir más allá de
go by	pasar
go by	ir se
go by	seguir
go by	ir en
go by	pasar por
go down with	agarrar
go down with	coger
go down with	pillar a
go down with	pillar
go down	bajar
go down	descender
go down	disminuir
go for	elegir
go for	decantar se por
go for	decidir se por
go for	ir a
go for	ir a por
go for 	vender se por
go for	vender se a
go in for	soler gustar
go in	entrar
go in	apuntar se a
go in	querer entrar
go into	entrar en
go into	meter se en
go off with	escapar se con
go off with	marchar se con
go off with a bang	triunfar
go off with	salir con
go off	explotar
go off	sonar
go off	pasar se
go off	estropear se
go off	marchar se
go off	ir se
go off	desenamorar se de
go on	partir
go on 	ir
go on	salir
go on	seguir
go on	perdurar
go on	continuar
go on	aguantar
go out	salir
go out	apagar se
go over to	pasar se a
go over to	cambiar a
go over to	pasar a
go over	repasar
go over	revisar
go through with	llevar a cabo
go through with	seguir adelante con
go through	cruzar
go through	pasar por
go through	sufrir
go through	soportar
go through	atravesar
go through	repasar
go through	revisar
go through	agotar
go through	acabar con
go through	quedar se sin
go through	buscar entre
go together	combinar bien
go together	hacer juego
go under	hundir se
go under	fracasar
go up	aumentar
go up	subir
go up	erigir se
go up	construir se
go up	levantar
go up	levantar se
go up	ascender
go up	incendiar se
go up	explotar
go up	estallar
go with 	acompañar a
go with	ir con
go with	salir con
go with	combinar con
go without	pasar sin
go without	prescindir de
grow apart	distanciar se
grow apart	alejar se
grow apart	separar se
grow away from	distanciarse de
grow back	volver a crecer
grow back	volver a salir
grow into	convertir se en
grow into	hacer se
grow into	transformar se en
grow into	poder usar
grow out of	perder el interés por
grow out of	ir se de
grow out of	perder
grow out of	nacer de
